model,dataset,lang,n,acc_before_pct,acc_after_pct,delta_pct
qwen8,taxi1500,en,111,25.2,30.6,5.4
qwen8,taxi1500,ar,111,48.6,47.7,-0.9
qwen8,taxi1500,de,111,21.6,23.4,1.8
qwen8,taxi1500,ru,111,24.3,27.0,2.7
qwen8,taxi1500,sw,111,15.3,17.1,1.8
qwen8,taxi1500,vi,111,24.3,30.6,6.3
qwen8,taxi1500,zh,111,43.2,45.0,1.8
