model,dataset,lang,n,acc_before_pct,acc_after_pct,delta_pct
qwen4,sib200,en,204,80.4,81.4,1.0
qwen4,sib200,ar,204,82.4,81.4,-1.0
qwen4,sib200,de,204,80.4,80.9,0.5
qwen4,sib200,ru,204,82.8,83.3,0.5
qwen4,sib200,sw,204,57.4,57.8,0.5
qwen4,sib200,vi,204,76.5,77.0,0.5
qwen4,sib200,zh,204,82.8,83.3,0.5
