model,dataset,lang,n,acc_before_pct,acc_after_pct,delta_pct
gemma4,taxi1500,en,111,38.7,40.5,1.8
gemma4,taxi1500,ar,111,45.0,45.0,0.0
gemma4,taxi1500,de,111,49.5,50.5,0.9
gemma4,taxi1500,ru,111,47.7,46.8,-0.9
gemma4,taxi1500,sw,111,52.3,51.4,-0.9
gemma4,taxi1500,vi,111,44.1,45.0,0.9
gemma4,taxi1500,zh,111,40.5,41.4,0.9
